usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	acceptedusagekey	note	original_sciname
3055361	Alchornea glandulosa Poepp.	species	ACCEPTED	EXACT	Alchornea glandulosa	97	Plantae	Tracheophyta	Malpighiales	Euphorbiaceae	Alchornea	Alchornea glandulosa	6	7707728	220	1414	4691	3055345	3055361	FALSE	Magnoliopsida	NA	NA	Alchornea glandulosa
8521091	Alchornea glandulosa Poit.	species	SYNONYM	EXACT	Alchornea glandulosa	97	Plantae	Tracheophyta	Malpighiales	Euphorbiaceae	Alchornea	Alchornea latifolia	6	7707728	220	1414	4691	3055345	3055359	TRUE	Magnoliopsida	3055359	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Alchornea glandulosa
8137510	Alchornea glandulosa Poit. ex Baill.	species	SYNONYM	EXACT	Alchornea glandulosa	97	Plantae	Tracheophyta	Malpighiales	Euphorbiaceae	Alchornea	Alchornea latifolia	6	7707728	220	1414	4691	3055345	3055359	TRUE	Magnoliopsida	3055359	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Alchornea glandulosa
3055511	Alchornea triplinervia (Spreng.) Müll.Arg.	species	ACCEPTED	EXACT	Alchornea triplinervia	98	Plantae	Tracheophyta	Malpighiales	Euphorbiaceae	Alchornea	Alchornea triplinervia	6	7707728	220	1414	4691	3055345	3055511	FALSE	Magnoliopsida	NA	NA	Alchornea triplinervia
2952808	Anadenanthera peregrina (L.) Speg.	species	ACCEPTED	EXACT	Anadenanthera peregrina	98	Plantae	Tracheophyta	Fabales	Fabaceae	Anadenanthera	Anadenanthera peregrina	6	7707728	220	1370	5386	2952807	2952808	FALSE	Magnoliopsida	NA	NA	Anadenanthera peregrina
10940239	Anadenanthera peregrina Linnaeus, 1753	species	DOUBTFUL	EXACT	Anadenanthera peregrina	95	Plantae	Tracheophyta	Fabales	Fabaceae	Anadenanthera	Anadenanthera peregrina	6	7707728	220	1370	5386	2952807	10940239	FALSE	Magnoliopsida	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Anadenanthera peregrina
5353578	Apuleia leiocarpa (Vogel) J.F.Macbr.	species	ACCEPTED	EXACT	Apuleia leiocarpa	98	Plantae	Tracheophyta	Fabales	Fabaceae	Apuleia	Apuleia leiocarpa	6	7707728	220	1370	5386	2955914	5353578	FALSE	Magnoliopsida	NA	NA	Apuleia leiocarpa
2955918	Apoleya leiocarpa (Vogel) Gleason	species	SYNONYM	FUZZY	Apoleya leiocarpa	68	Plantae	Tracheophyta	Fabales	Fabaceae	Apuleia	Apuleia leiocarpa	6	7707728	220	1370	5386	2955914	5353578	TRUE	Magnoliopsida	5353578	Similarity: name=65; authorship=0; classification=-2; rank=5; status=0	Apuleia leiocarpa
3833515	Balfourodendron riedelianum (Engl.) Engl.	species	ACCEPTED	EXACT	Balfourodendron riedelianum	98	Plantae	Tracheophyta	Sapindales	Rutaceae	Balfourodendron	Balfourodendron riedelianum	6	7707728	220	933	2396	7269094	3833515	FALSE	Magnoliopsida	NA	NA	Balfourodendron riedelianum
2874863	Bixa orellana L.	species	ACCEPTED	EXACT	Bixa orellana	98	Plantae	Tracheophyta	Malvales	Bixaceae	Bixa	Bixa orellana	6	7707728	220	941	6637	2874862	2874863	FALSE	Magnoliopsida	NA	NA	Bixa orellana
4087205	Bixa orleana Noronha	species	SYNONYM	FUZZY	Bixa orleana	92	Plantae	Tracheophyta	Malvales	Bixaceae	Bixa	Bixa orellana	6	7707728	220	941	6637	2874862	2874863	TRUE	Magnoliopsida	2874863	Similarity: name=95; authorship=0; classification=-2; rank=5; status=0	Bixa orellana
3083020	Cariniana estrellensis (Raddi) Kuntze	species	ACCEPTED	EXACT	Cariniana estrellensis	98	Plantae	Tracheophyta	Ericales	Lecythidaceae	Cariniana	Cariniana estrellensis	6	7707728	220	1353	3990	3083017	3083020	FALSE	Magnoliopsida	NA	NA	Cariniana estrellensis
3083036	Cariniana legalis (Mart.) Kuntze	species	ACCEPTED	EXACT	Cariniana legalis	98	Plantae	Tracheophyta	Ericales	Lecythidaceae	Cariniana	Cariniana legalis	6	7707728	220	1353	3990	3083017	3083036	FALSE	Magnoliopsida	NA	NA	Cariniana legalis
