FAMÍLIA,NOME CIENTÍFICO
Anacardiaceae,Anacardium humile A.St.-Hil.
Anacardiaceae,Anacardium occidentale L.
Apocynaceae,Aspidosperma sp.
Apocynaceae,Himatanthus obovatus (Müll. Arg.) Woodson
Apocynaceae,Tabernaemontana hystrix Steud.
Apocynaceae,Tabernaemontana laeta Mart.
Araliaceae,Didymopanax morototoni (Aubl.) Decne. & Planch.
Arecaceae,Acrocomia aculeata (Jacq.) Lodd. ex Mart.
Arecaceae,Astrocaryum aculeatissimum (Schott) Burret
Arecaceae,Attalea dubia (Mart.) Burret
Arecaceae,Attalea humilis Mart.
Capparaceae,Crataeva tapia L.
Caricaceae,Jacaratia spinosa  (Aubl.) A. DC.
Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.
Fabaceae,Dimorphandra sp.
Fabaceae,Dipteryx alata Vogel
Fabaceae,Enterolobium contortisiliquum (Vell.) Morong
Fabaceae,Enterolobium glaziovii (Benth.) Mesquita
Fabaceae,Enterolobium gummiferum (Mart.) J.F.Macbr.
Fabaceae,Enterolobium timbouva Mart.
Fabaceae,Erythrina sp.
Fabaceae,Erythrina speciosa Andrews
Fabaceae,Erythrina verna Vell.
Fabaceae,Hymenaea courbaril L.
Fabaceae,Hymenaea parvifolia Huber
Fabaceae,Hymenaea stigonocarpa Mart. ex Hayne
Fabaceae,Inga edulis Mart.
Fabaceae,Inga laurina (Sw.) Willd.
Fabaceae,Leptolobium elegans Vogel
Fabaceae,Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz
Fabaceae,Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima
Fabaceae,Machaerium brasiliense Vogel
Myrtaceae,Eugenia uniflora L.
Myrtaceae,Myrcia guianensis (Aubl.) DC.
Myrtaceae,Myrcia sp.
Myrtaceae,Myrcia splendens (Sw.) DC.
Myrtaceae,Myrciaria glazioviana (Kiaersk.) G.M.Barroso ex Sobral
Myrtaceae,Psidium cattleyanum Sabine
Myrtaceae,Psidium guineense Sw.
Myrtaceae,Psidium rufum Mart. ex DC.
Myrtaceae,Psidium sp.
Rubiaceae,Guettarda viburnoides Cham. & Schltdl.
Rubiaceae,Psychotria sp.
Rubiaceae,Randia armata (Sw.) DC.
Rubiaceae,Tocoyena sp.
