"id","scientificName","names_wo_author","est"
342,"Balfourodendron molle (Miq.) Pirani","Balfourodendron molle","MG"
343,"Balfourodendron riedelianum (Engl.) Engl.","Balfourodendron riedelianum","MG"
401,"Citrus reticulata Blanco","Citrus reticulata","MG"
409,"Citrus ×aurantium L.","Citrus ×aurantium","MG"
414,"Citrus ×limon (L.) Osbeck","Citrus ×limon","MG/ES"
453,"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","Conchocarpus fontanesianus","MG"
542,"Dictyoloma vandellianum A.Juss.","Dictyoloma vandellianum","MG/ES"
573,"Esenbeckia almawillia Kaastra","Esenbeckia almawillia","MG"
580,"Esenbeckia decidua Pirani","Esenbeckia decidua","MG"
583,"Esenbeckia febrifuga (A.St.-Hil.) A. Juss. ex Mart.","Esenbeckia febrifuga","MG/ES"
589,"Esenbeckia grandiflora Mart.","Esenbeckia grandiflora","MG/ES"
591,"Esenbeckia grandiflora Mart. subsp. grandiflora","Esenbeckia grandiflora","MG/ES"
592,"Esenbeckia grandiflora Mart. var. grandiflora","Esenbeckia grandiflora","MG/ES"
601,"Esenbeckia leiocarpa Engl.","Esenbeckia leiocarpa","MG/ES"
607,"Esenbeckia pilocarpoides Kunth","Esenbeckia pilocarpoides","MG/ES"
611,"Esenbeckia pumila Pohl","Esenbeckia pumila","MG"
733,"Galipea ciliata Taub.","Galipea ciliata","MG"
746,"Galipea jasminiflora (A.St.-Hil.) Engl.","Galipea jasminiflora","MG/ES"
774,"Helietta apiculata Benth.","Helietta apiculata","MG"
777,"Helietta glaziovii (Engl.) Pirani","Helietta glaziovii","MG"
786,"Hortia brasiliana Vand. ex DC.","Hortia brasiliana","MG/ES"
819,"Metrodorea nigra A.St.-Hil.","Metrodorea nigra","MG/ES"
823,"Metrodorea stipularis Mart.","Metrodorea stipularis","MG/ES"
837,"Murraya paniculata (L.) Jack","Murraya paniculata","MG/ES"
847,"Neoraputia alba (Nees & Mart.) Emmerich ex Kallunki","Neoraputia alba","MG/ES"
873,"Pilocarpus giganteus Engl.","Pilocarpus giganteus","MG/ES"
888,"Pilocarpus pennatifolius Lem.","Pilocarpus pennatifolius","MG"
890,"Pilocarpus pennatifolius Lem. var. pennatifolius","Pilocarpus pennatifolius","MG"
898,"Pilocarpus spicatus A.St.-Hil.","Pilocarpus spicatus","MG/ES"
903,"Pilocarpus spicatus A.St.-Hil. subsp. spicatus","Pilocarpus spicatus","MG/ES"
904,"Pilocarpus spicatus A.St.-Hil. var. spicatus","Pilocarpus spicatus","MG/ES"
907,"Pilocarpus sulcatus Skorupa","Pilocarpus sulcatus","MG"
908,"Pilocarpus trachylophus Holmes","Pilocarpus trachylophus","MG"
953,"Rauia resinosa Nees & Mart.","Rauia resinosa","MG/ES"
1068,"Zanthoxylum acuminatum (Sw.) Sw.","Zanthoxylum acuminatum","MG/ES"
1070,"Zanthoxylum acuminatum subsp. juniperinum (Poepp.) Reynel","Zanthoxylum acuminatum","MG/ES"
1081,"Zanthoxylum caribaeum Lam.","Zanthoxylum caribaeum","MG/ES"
1083,"Zanthoxylum caribaeum subsp. rugosum (A.St.-Hil. & Tul.) Reynel","Zanthoxylum caribaeum","MG/ES"
1104,"Zanthoxylum fagara (L.) Sarg.","Zanthoxylum fagara","MG/ES"
1108,"Zanthoxylum fagara subsp. lentiscifolium (Humb. & Bonpl. ex Willd.) Reynel","Zanthoxylum fagara","MG/ES"
1133,"Zanthoxylum monogynum A.St.-Hil.","Zanthoxylum monogynum","MG/ES"
1135,"Zanthoxylum monogynum A.St.-Hil. subsp. monogynum","Zanthoxylum monogynum","MG/ES"
1139,"Zanthoxylum nemorale Mart.","Zanthoxylum nemorale","MG/ES"
1152,"Zanthoxylum petiolare A.St.-Hil. & Tul.","Zanthoxylum petiolare","MG/ES"
1162,"Zanthoxylum rhoifolium Lam.","Zanthoxylum rhoifolium","MG/ES"
1169,"Zanthoxylum riedelianum Engl.","Zanthoxylum riedelianum","MG"
1173,"Zanthoxylum riedelianum Engl. subsp. riedelianum","Zanthoxylum riedelianum","MG"
1174,"Zanthoxylum rigidum Humb. & Bonpl. ex Willd.","Zanthoxylum rigidum","MG"
1175,"Zanthoxylum rigidum subsp. hasslerianum (Chodat) Reynel","Zanthoxylum rigidum","MG"
1182,"Zanthoxylum stelligerum Turcz.","Zanthoxylum stelligerum","MG"
1186,"Zanthoxylum tingoassuiba A.St.-Hil.","Zanthoxylum tingoassuiba","MG/ES"
1301,"Picrasma crenata (Vell.) Engl.","Picrasma crenata","MG"
1381,"Simarouba amara Aubl.","Simarouba amara","MG/ES"
1394,"Simarouba versicolor A.St.-Hil.","Simarouba versicolor","MG"
1430,"Brasiliopuntia brasiliensis (Willd.) A.Berger","Brasiliopuntia brasiliensis","MG/ES"
1444,"Cereus hildmannianus K.Schum.","Cereus hildmannianus","MG"
1445,"Cereus hildmannianus K.Schum. subsp. hildmannianus","Cereus hildmannianus","MG"
1447,"Cereus jamacaru DC.","Cereus jamacaru","MG"
1449,"Cereus jamacaru DC. subsp. jamacaru","Cereus jamacaru","MG"
1479,"Coleocephalocereus goebelianus (Vaupel) Buining","Coleocephalocereus goebelianus","MG"
1517,"Facheiroa cephaliomelana Buining & Brederoo","Facheiroa cephaliomelana","MG"
1636,"Pereskia grandifolia Haw.","Pereskia grandifolia","MG/ES"
1648,"Pilosocereus azulensis N.P.Taylor & Zappi","Pilosocereus azulensis","MG"
1668,"Pilosocereus pachycladus F.Ritter","Pilosocereus pachycladus","MG"
1669,"Pilosocereus pachycladus F.Ritter subsp. pachycladus","Pilosocereus pachycladus","MG"
4038,"Ludwigia anastomosans (DC.) H.Hara","Ludwigia anastomosans","MG"
4248,"Carpotroche brasiliensis (Raddi) A Gray","Carpotroche brasiliensis","MG/ES"
4254,"Sambucus australis Cham. & Schltdl.","Sambucus australis","MG"
4381,"Anacardium occidentale L.","Anacardium occidentale","MG/ES"
4383,"Astronium concinnum Schott","Astronium concinnum","MG/ES"
4384,"Astronium fraxinifolium Schott","Astronium fraxinifolium","MG"
4385,"Astronium graveolens Jacq.","Astronium graveolens","MG/ES"
4388,"Cyrtocarpa caatingae J.D.Mitch. & Daly","Cyrtocarpa caatingae","MG"
4391,"Lithraea molleoides (Vell.) Engl.","Lithraea molleoides","MG/ES"
4396,"Schinopsis brasiliensis Engl.","Schinopsis brasiliensis","MG"
4403,"Spondias macrocarpa Engl.","Spondias macrocarpa","MG/ES"
4404,"Spondias mombin L.","Spondias mombin","MG/ES"
4405,"Spondias tuberosa Arruda","Spondias tuberosa","MG/ES"
4406,"Spondias venulosa (Mart. ex Engl.) Engl.","Spondias venulosa","MG/ES"
4408,"Tapirira guianensis Aubl.","Tapirira guianensis","MG/ES"
4409,"Tapirira obtusa (Benth.) J.D.Mitch.","Tapirira obtusa","MG/ES"
4411,"Thyrsodium spruceanum Benth.","Thyrsodium spruceanum","MG/ES"
4521,"Aspidosperma australe Müll.Arg.","Aspidosperma australe","MG"
4522,"Aspidosperma camporum Müll.Arg.","Aspidosperma camporum","MG"
4523,"Aspidosperma compactinervium Kuhlm.","Aspidosperma compactinervium","MG/ES"
4524,"Aspidosperma cuspa (Kunth) S.F.Blake","Aspidosperma cuspa","MG"
4525,"Aspidosperma cylindrocarpon Müll.Arg.","Aspidosperma cylindrocarpon","MG/ES"
4527,"Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","Aspidosperma illustre","MG/ES"
4529,"Aspidosperma parvifolium A.DC.","Aspidosperma parvifolium","MG/ES"
4530,"Aspidosperma polyneuron Müll.Arg.","Aspidosperma polyneuron","MG/ES"
